ID,Full Name,Phone Number
10001,Artymyshyna Zakhar Amvrosijovych,+380675136446
10002,Dakhno Orkhyp Amvrosijovych,+380962535049
10003,Hrechko Herman Jaremovych,+380933845889
10004,Tarasenko Avhustyn Bohdanovych,+380955436311
10005,Adamenko Symon Ruslanivna,+380639378922
10006,Yeremenko Onysym Vʼjacheslavivna,+380734123953
10007,Nesterenko Pantelejmon Klymentovych,+380672121599
10008,Pavlenko Bohdan Demʼjanovych,+380736857522
10009,Zakusylo Tetjana Varfolomijovych,+380987901777
10010,Zabashta Lilija Amvrosijovych,+380688492359
10011,Lupij Vitalij Petrovych,+380997978948
10012,Skopenko Mykhajlyna Hermanivna,+380980639169
10013,Tereshchenko Nazar Leopol'divna,+380639968090
10014,Ishchak Kyrylo Azarivna,+380739758516
10015,Jarema Pavlo Teodorivna,+380677869035
10016,Nikoljuk Demʼjan Lesivna,+380994146272
10017,Pavlychenko Anzhela Vladyslavivna,+380631153207
10018,Il'yenko Sofija Fedorivna,+380978129789
10019,Karpenko Rostyslav Oleksandrivna,+380688301052
10020,Andriyevych Daryna Jakovovych,+380663816292
10021,Dubenko Nadija Teodorivna,+380991732937
10022,Jashchenko Maksym Ihnativna,+380504652570
10023,Orlyk Ihnat Boryslavovych,+380636976802
10024,Shcherbak Valentyna Petrovych,+380631524810
10025,Jurchyshyn Bohuslava Vitalijovych,+380939169367
10026,Okhrymovych Adam Serhiyivna,+380665758677
10027,Talan Illja Ruslanovych,+380963901889
10028,Korbut Marta Semenovych,+380688750501
10029,Ejbozhenko Dmytro Semenovych,+380937423971
10030,Nalyvajko Heorhij Zakharovych,+380630866362
10031,Abramchuk Opanas Vʼjacheslavovych,+380632681792
10032,Alekseyenko Serhij Zynovijovych,+380503620385
10033,Khorishko Ol'ha Romanivna,+380974833432
10034,Ovcharenko Oles' Myronovych,+380995598807
10035,Svyrydenko Mykhajlyna Tymofijovych,+380689146154
10036,Bashpolchenko Vira Myroslavovych,+380684645677
10037,Tverdokhlib Jakiv Valentynovych,+380936630038
10038,Chumak Nestor Mykolayivna,+380733778299
10039,Kovalenko Jarema Avhustynivna,+380995002754
10040,Havryljuk Zorjan Fedorovych,+380961530136
10041,Jaremko Les' Ostapivna,+380678114653
10042,Zubko Fedir Symonovych,+380678325456
10043,Samojlenko Oleh Rostyslavovych,+380935849052
10044,Aleksjuk Solomija Aaronivna,+380689698952
10045,Orobets' Avrelij Ruslanovych,+380678734258
10046,Mazur Stepan Leontijovych,+380686014095
10047,Demʼjanjuk Havrylo Solomonovych,+380960473930
10048,Yeremenko Marko Kyrylivna,+380676064027
10049,Sheremeta Leontij Valeriyivna,+380953348932
10050,Komar Olena Stepanivna,+380956302118
10051,Sheremeta Boryslav Valentynivna,+380632850092
10052,Shukhevych Bohdanna Arsenovych,+380968626053
10053,Simashkevych Oleksandr Nestorovych,+380738302558
10054,Gerus Kyrylo Eduardivna,+380683590095
10055,Smyk Rostyslav Danylivna,+380981327676
10056,Ishchak Violetta Fedorivna,+380639909572
10057,Zayets' Oleh Volodymyrovych,+380672446404
10058,Chupryna Vadym Hryhoriyivna,+380673297779
10059,Udovenko Iryna Arkadijovych,+380987090948
10060,Akymenko Fedir Hordiyivna,+380960838058
10061,Babak Jaroslava Prokhorivna,+380667011189
10062,Zasukha Pavlo Avrelijovna,+380678979878
10063,Jakymchuk Volodymyra Bohodarovych,+380987178981
10064,Nosenko Klavdija Frantsivna,+380976481680
10065,Nikoljuk Tereza Oleksandrovych,+380938874820
10066,Yerchenko Mykhajlo Vadymivna,+380736895293
