ID,Full Name,Phone Number,Company
1,Shchyrytsja Nestor Tymofiyivna,+380676064020,Kyivmiskbud
2,Neporozhnij Bohdan Semenovych,+380508141448,UDP (Ukrainska Developerska Kompaniya)
3,Ishchak Iryna Andrijovych,+380961090203,Kyivmiskbud
4,Olijnyk Kamilla Ihorovych,+380731575020,Kovalska Group
5,Ovsiyenko Svjatoslava Andriyivna,+380963254292,Kyivmiskbud
6,Palij Ihnat Azarivna,+380967250937,Spetsbudmontazh
7,Tymchenko Khoma Bohdanovych,+380935301775,UDP (Ukrainska Developerska Kompaniya)
8,Velychko Demyd Hermanivna,+380666758550,Spetsbudmontazh
9,Vlasjuk Herman Mykolajovych,+380635402523,Zhitlobud-1
10,Darahan Priska Mykolajovych,+380672255868,UDP (Ukrainska Developerska Kompaniya)
11,Konoplenko Myron Oleksandrivna,+380680401336,Altis-Holding
12,Shapoval Oles' Mykolajovych,+380963939601,Beton Kompleks
13,Shylo Odarka Semenovych,+380670860546,Altis-Holding
14,Nazarenko Bohuslava Vʼjacheslavovych,+380973571436,Zhitlobud-1
15,Karmaljuk Teodor Maksymovych,+380664159867,Spetsbudmontazh
16,Shakhraj Volodymyra Amvrosijovych,+380672377309,UDP (Ukrainska Developerska Kompaniya)
17,Onufriyenko Violetta Orestivna,+380968502245,TMM Holding
18,Jashchenko Hordij Dmytriyivna,+380735625066,Kyivmiskbud
19,Verkhovynets' Tereza Artemovych,+380986439393,Altis-Holding
20,Babko Volodymyra Spasivna,+380632731941,Spetsbudmontazh
21,Tsjupa Leopol'd Orkhypovych,+380676616106,Zhitlobud-1
22,Ivanchenko Arsen Al'bertovych,+380730228603,Altis-Holding
23,Franchuk Demyd Makarovych,+380508010876,Spetsbudmontazh
24,Kashchenko Hryhorij Myronivna,+380502638925,Intergal-Bud
25,Rjabets' Havrylo Pylypivna,+380508346272,UDP (Ukrainska Developerska Kompaniya)
26,Cherin'ko Marta Valerijovych,+380636768438,Spetsbudmontazh
27,Sheremeta Zlatoslava Feofanivna,+380685263278,Kyivmiskbud
28,Dutka Valentyna Vʼjacheslavivna,+380959614438,Kovalska Group
29,Kovpak Eduard Pantelejmonivna,+380505516762,Spetsbudmontazh
30,Bashpolchenko Danylo Jukhymovych,+380933083820,TMM Holding
31,Ostapchuk Odarka Stefanivna,+380954466873,Kyivmiskbud
32,Prykhod'ko Heorhij Oleksandrivna,+380994493922,Kyivmiskbud
33,Babij Roman Oleksandrivna,+380633412374,Spetsbudmontazh
34,Shelest Marko Myronovych,+380990160015,UDP (Ukrainska Developerska Kompaniya)
35,Havrylyshyn Zynovij Viktorivna,+380686387593,Spetsbudmontazh
