Order ID,Customer ID,Mediator ID,City,Address,Order Date
10001,10318,4,Kyiv,"Lesi Ukrainky Blvd., 65",2024-02-09
10002,10286,32,Kharkiv,"Moskovskyi Ave., 30",2023-07-15
10003,10528,30,Kharkiv,"Holodnohirska St., 136",2024-08-07
10004,10623,10,Kharkiv,"Heroiv Kharkova Ave., 62",2023-07-28
10005,10071,23,Zaporizhzhia,"Pobedy Blvd., 172",2023-02-19
10006,10604,29,Vinnytsia,"Sportyvna St., 186",2023-10-08
10007,10106,28,Lviv,"Kopernyka St., 15",2024-01-31
10008,10131,15,Kharkiv,"Sumska St., 141",2022-12-14
10009,10563,10,Kharkiv,"Holodnohirska St., 245",2023-10-15
10010,10590,27,Kyiv,"Instytutska St., 145",2024-04-26
10011,10187,11,Kyiv,"Shevchenka Ave., 123",2024-03-08
10012,10015,10,Mykolaiv,"Shevchenka St., 101",2024-08-23
10013,10267,15,Lviv,"Kopernyka St., 32",2023-09-26
10014,10237,24,Kyiv,"Instytutska St., 253",2023-10-13
10015,10269,33,Kharkiv,"Sumska St., 231",2023-07-07
10016,10286,18,Lviv,"Shevchenka St., 66",2023-12-18
10017,10554,34,Kharkiv,"Heroiv Kharkova Ave., 220",2023-05-31
10018,10334,3,Kyiv,"Saksahanskoho St., 176",2024-03-10
10019,10584,15,Lviv,"Rynok Sq., 71",2023-03-18
10020,10354,29,Odesa,"Derybasivska St., 196",2023-03-07
10021,10451,35,Chernihiv,"Rokossovskoho St., 19",2023-05-31
10022,10184,5,Odesa,"Mykhailivska St., 20",2024-05-25
10023,10358,18,Dnipro,"Myrna St., 249",2024-01-31
10024,10623,28,Odesa,"Prymorskyi Blvd., 241",2024-07-05
10025,10625,29,Kharkiv,"Pushkinska St., 204",2024-02-07
10026,10391,5,Kharkiv,"Pushkinska St., 69",2023-02-04
10027,10523,28,Odesa,"Novoselskoho St., 40",2024-03-04
10028,10606,33,Kharkiv,"Pushkinska St., 75",2024-10-12
10029,10237,32,Poltava,"Mazepy St., 182",2024-02-04
10030,10133,34,Kyiv,"Shevchenka Ave., 174",2024-02-15
10031,10294,15,Chernihiv,"Rokossovskoho St., 20",2024-08-08
10032,10130,20,Kyiv,"Andriivskyi Uzviz, 157",2023-06-12
10033,10182,16,Odesa,"Prymorskyi Blvd., 27",2024-05-22
10034,10244,11,Kharkiv,"Holodnohirska St., 203",2024-05-02
10035,10335,25,Lviv,"Svobody Ave., 189",2024-11-10
10036,10257,35,Lviv,"Svobody Ave., 212",2024-11-20
10037,10564,30,Kyiv,"Saksahanskoho St., 200",2023-02-22
10038,10347,26,Kyiv,"Andriivskyi Uzviz, 57",2023-02-05
10039,10438,4,Kyiv,"Khreshchatyk St., 38",2024-05-19
10040,10603,14,Ivano-Frankivsk,"Sportyvna St., 248",2023-12-25
10041,10280,3,Lviv,"Shevchenka St., 83",2023-02-11
10042,10576,6,Lviv,"Bandery St., 158",2022-11-29
10043,10140,6,Kharkiv,"Nauky Ave., 100",2024-02-26
